location,continent,date,population,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations,people_fully_vaccinated_per_hundred,total_cases_per_million,total_deaths_per_million,case_fatality_rate,total_cases_M,total_deaths_M
Trinidad and Tobago,North America,2024-08-04,1531043,191496.0,0.0,4390.0,0.0,1580898.0,46.82,128012.02,2934.64,2.29,0.191,0.004
Tunisia,Africa,2024-08-04,12356116,1153361.0,0.0,29423.0,0.0,13253317.0,51.81,95167.02,2427.77,2.55,1.153,0.029
Turkey,Asia,2024-08-04,85341248,17004718.0,0.0,101419.0,0.0,152543341.0,62.31,195325.25,1164.95,0.6,17.005,0.101
Turkmenistan,Asia,2024-08-04,6430777,0.0,0.0,0.0,0.0,16775970.0,71.05,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,North America,2024-08-04,45726,6805.0,0.0,40.0,0.0,73907.0,67.16,148357.28,872.05,0.59,0.007,0.0
Tuvalu,Oceania,2024-08-04,11335,2943.0,0.0,1.0,0.0,26783.0,83.86,293947.25,99.88,0.03,0.003,0.0
Uganda,Africa,2024-08-04,47249588,172154.0,0.0,3632.0,0.0,26406936.0,27.64,3638.64,76.77,2.11,0.172,0.004
Ukraine,Europe,2024-08-04,39701744,5532777.0,171.0,109920.0,0.0,35735488.0,39.65,134785.47,2677.79,1.99,5.533,0.11
United Arab Emirates,Asia,2024-08-04,9441138,1067030.0,0.0,2349.0,0.0,24922054.0,103.72,104180.94,229.35,0.22,1.067,0.002
United Kingdom,Europe,2024-08-04,67508936,24974629.0,3400.0,232112.0,0.0,151248820.0,75.19,366308.0,3404.43,0.93,24.975,0.232
United States,North America,2024-08-04,338289856,103436829.0,0.0,1193165.0,619.0,676728782.0,69.47,302859.5,3493.55,1.15,103.437,1.193
United States Virgin Islands,North America,2024-08-04,99479,25389.0,0.0,132.0,0.0,,,293443.22,1525.64,0.52,0.025,0.0
Uruguay,South America,2024-08-04,3422796,1041346.0,15.0,7682.0,0.0,9036273.0,84.82,307099.0,2265.47,0.74,1.041,0.008
Uzbekistan,Asia,2024-08-04,34627648,175081.0,0.0,1016.0,0.0,83937954.0,53.29,5011.05,29.08,0.58,0.175,0.001
Vanuatu,Oceania,2024-08-04,326744,12019.0,0.0,14.0,0.0,366638.0,49.66,38391.76,44.72,0.12,0.012,0.0
Vatican,Europe,2024-08-04,808,26.0,0.0,0.0,0.0,,,50682.26,0.0,0.0,0.0,0.0
Venezuela,South America,2024-08-04,28301700,552695.0,0.0,5856.0,0.0,37860994.0,52.88,19590.07,207.56,1.06,0.553,0.006
Vietnam,Asia,2024-08-04,98186856,11624000.0,0.0,43206.0,0.0,266492149.0,87.55,116612.4,433.44,0.37,11.624,0.043
Wales,Europe,2023-07-12,3170000,,,,,8932482.0,78.14,,,,,
Wallis and Futuna,Oceania,2024-08-04,11596,3760.0,0.0,9.0,0.0,18058.0,58.67,326928.1,782.54,0.24,0.004,0.0
Western Sahara,Africa,2022-04-20,576005,,,,,,,,,,,
Yemen,Asia,2024-08-04,33696612,11945.0,0.0,2159.0,0.0,1298654.0,2.4,312.51,56.48,18.07,0.012,0.002
Zambia,Africa,2024-08-04,20017670,349842.0,18.0,4077.0,0.0,13454213.0,46.03,17359.36,202.3,1.17,0.35,0.004
Zimbabwe,Africa,2024-08-04,16320539,266386.0,0.0,5740.0,0.0,12222754.0,29.11,16577.57,357.21,2.15,0.266,0.006
